序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
185,人民币贬值受益,2384.61,-0.05,2413.66,2325.44,88.23,601,爱迪特,20.0,63.17
186,高压快充,2137.84,-0.06,444.11,422.98,21.13,123,鑫宏业,20.0,46.75
187,创投,3490.91,-0.07,1344.84,1313.64,31.2,465,鑫宏业,20.0,46.75
188,EDR概念,1601.85,-0.07,130.13,135.62,-5.49,20,博敏电子,7.06,28.65
189,海峡两岸,1940.53,-0.08,1134.14,1132.84,1.3,317,晶升股份,20.01,80.44
190,固态电池,1684.22,-0.08,1237.62,1380.54,-142.92,295,金博股份,20.0,59.75
191,安防,5026.96,-0.11,360.13,362.45,-2.33,176,中富通,10.49,18.75
192,禽流感,1992.23,-0.11,8.76,10.09,-1.33,26,众生药业,9.99,22.9
193,维生素,1204.9,-0.13,37.03,36.93,0.1,76,皓元医药,15.08,86.37
194,核电,4312.88,-0.13,782.76,880.65,-97.89,346,春晖智控,20.0,41.4
195,华为汽车,3120.97,-0.14,453.63,460.49,-6.85,174,双林股份,11.86,31.69
196,深股通,1367.2,-0.14,5599.28,5766.72,-167.45,1716,东方国信,20.03,18.7
197,数字经济,1552.93,-0.14,763.05,767.37,-4.32,507,东方国信,20.03,18.7
198,锂电池概念,2157.96,-0.14,2226.24,2419.53,-193.29,600,金博股份,20.0,59.75
199,数据确权,1456.7,-0.14,71.55,71.26,0.29,69,天娱数科,9.96,7.73
200,人脸识别,1351.96,-0.15,197.33,193.1,4.22,110,智微智能,10.0,126.93
201,知识产权保护,1626.18,-0.16,41.96,35.74,6.23,51,汉邦高科,7.25,9.03
202,长安汽车概念,1646.44,-0.17,547.55,594.53,-46.99,456,双林股份,11.86,31.69
203,农机,1292.24,-0.18,159.06,154.31,4.74,97,碧兴物联,20.0,30.78
204,石墨烯,1912.46,-0.18,204.09,215.28,-11.19,76,世名科技,19.99,19.21
205,时空大数据,1515.31,-0.19,64.31,61.41,2.9,67,东方国信,20.03,18.7
206,京津冀一体化,1927.03,-0.19,417.32,402.47,14.84,290,东方国信,20.03,18.7
207,融资融券,1862.22,-0.19,10856.86,11361.78,-504.93,3788,金戈新材,21.67,73.0
208,粤港澳大湾区,2758.24,-0.22,1436.14,1474.05,-37.91,483,麦捷科技,20.02,27.76
209,智慧灯杆,1599.73,-0.25,47.08,54.32,-7.24,63,华体科技,10.01,21.43
210,MicroLED概念,2129.15,-0.26,530.24,590.04,-59.81,79,凌云光,14.1,69.09
211,充电桩,6741.71,-0.27,1031.65,1062.52,-30.87,390,麦捷科技,20.02,27.76
212,在线教育,2813.17,-0.27,180.56,169.78,10.78,127,昆仑万维,10.97,43.0
213,代糖概念,936.091,-0.28,47.06,45.02,2.04,23,鲁信创投,6.02,21.13
214,染料,1577.27,-0.28,46.68,48.04,-1.36,40,世名科技,19.99,19.21
215,沪股通,2451.38,-0.28,5196.24,5561.27,-365.02,1527,金博股份,20.0,59.75
216,ERP概念,1344.46,-0.29,30.77,31.23,-0.46,35,汉得信息,2.52,17.88
217,上海自贸区,4226.03,-0.29,208.98,196.81,12.17,58,博通集成,7.72,37.38
218,燃料电池,2142.96,-0.31,513.45,568.4,-54.95,214,春晖智控,20.0,41.4
219,深圳国企改革,1785.16,-0.32,40.78,40.18,0.6,58,麦捷科技,20.02,27.76
220,横琴新区,1909.89,-0.33,51.65,59.85,-8.2,43,贤丰控股,10.05,4.71
221,赛马概念,1059.65,-0.34,2.3,2.64,-0.34,4,*ST正平,5.01,8.8
222,特高压,5466.23,-0.34,523.71,567.94,-44.23,130,旭光电子,10.0,42.01
223,碳纤维,2215.59,-0.35,186.08,190.44,-4.36,79,金博股份,20.0,59.75
224,海工装备,3835.21,-0.36,718.92,785.91,-66.99,272,东方国信,20.03,18.7
