code,name,amount,turnover,pe,pb,market_cap,is_theme,is_core_theme,is_satellite_theme,theme_tier,concepts,trade_date,price,day_ret,ma5,ma10,ma20,ma60,low5,high20,vol_ratio,avg_range20,momentum20,momentum5,close_position,upper_shadow,lower_shadow,gap,ma10_dist,ma20_dist,high20_dist,low,score,amount_score,quality_score,rank,strategy,strategy_name
300316.SZ,晶盛机电,3029330897.01,4.24,186.35,4.49,76437487731.0,True,True,False,core,"['存储芯片', '半导体概念', '新材料']",2026-06-26,58.37,3.346317280453249,57.001999999999995,54.169000000000004,51.49349999999998,48.18833333333334,53.23,59.27,1.1456433806215778,7.360985088292801,14.856355765446665,1.8673647469459098,0.7631578947368409,0.23684210526315913,0.1157894736842098,-1.009206798866856,7.755358230722351,13.354112654995333,-1.51847477644678,55.47,3.856925,11.369808,3.856925,11,main_theme,主线三日趋势承接
300236.SZ,上海新阳,2397654463.89,7.38,88.22,7.85,36590500184.0,True,True,False,core,"['存储芯片', '半导体概念', '光刻机(胶)']",2026-06-26,116.76,2.7997886951928166,111.912,106.816,100.09400000000001,93.32866666666665,103.58,119.0,1.1567879362605642,6.738017445097043,28.05439789427507,7.011273027220241,0.7200000000000006,0.27999999999999936,0.03125,-2.051417503081538,9.309466746554818,16.650348672248086,-1.882352941176464,111.0,3.824109,11.939294,3.824109,12,main_theme,主线三日趋势承接
300458.SZ,全志科技,3418168896.33,10.69,48.81,12.44,39636193852.0,True,True,False,core,['半导体概念'],2026-06-26,39.89,-0.20015011258442428,37.769999999999996,35.605999999999995,34.0175,33.92183333333333,34.6,40.66,1.5401793482324173,5.8284339235142735,15.15588914549653,12.113546936481171,0.75179856115108,0.24820143884891993,0.5035971223021601,-1.9264448336252116,12.031680053923523,17.263173366649525,-1.893753074274457,37.8,3.809443,11.831767,3.809443,13,main_theme,主线三日趋势承接
300395.SZ,菲利华,9361246462.49,13.18,127.99,15.39,73580762397.0,True,True,False,core,"['PCB', '半导体概念', '新材料']",2026-06-26,139.96,4.799700486709099,134.51800000000003,132.09799999999998,126.49950000000001,121.127,125.04,144.88,1.078649856974037,7.233340478188034,4.642990654205619,1.2368896925859048,0.717897538256821,0.282102461743179,0.11909514304724021,-1.939348558592286,5.951641962785217,10.640753520764903,-3.3959138597459884,129.17,3.639508,11.282133,3.639508,14,main_theme,主线三日趋势承接
600596.SH,新安股份,2301107452.0,9.69,62.38,1.93,24022827472.0,True,True,False,core,"['液冷概念', '新材料']",2026-06-26,17.8,3.7900874635568726,16.902,16.129,14.983500000000001,13.010333333333332,15.1,18.39,1.1296595888577567,7.414310947680816,48.953974895397494,7.552870090634428,0.6335403726708074,0.36645962732919257,0.32919254658384955,0.9329446064139972,10.360220720441433,18.79734374478592,-3.208265361609577,16.78,3.589453,12.939295,4.106953,15,main_theme,主线三日趋势承接
605020.SH,永和股份,1926380882.0,9.38,29.2,3.69,21055947762.0,True,True,False,core,['液冷概念'],2026-06-26,41.22,6.018518518518505,38.498000000000005,36.819,35.306,30.056333333333335,33.4,42.0,1.360460945502717,7.402976346793387,24.306393244873362,9.656823623304064,0.7863013698630134,0.2136986301369867,0.041095890410958534,-0.9773662551440339,11.953067709606444,16.75069393304254,-1.8571428571428612,38.35,3.581611,11.860523,3.824825,16,main_theme,主线三日趋势承接
002655.SZ,共达电声,1916366267.41,10.42,891.02,22.64,18637089520.0,True,True,False,core,['半导体概念'],2026-06-26,51.13,5.5750567829857545,48.684000000000005,43.103,39.98199999999999,32.23083333333334,45.41,52.72,1.242015556742911,8.787835337127039,26.184600197433355,9.088969490078952,0.6701244813278017,0.3298755186721984,0.2510373443983404,1.4040883749741937,18.62283367747024,27.882547146215828,-3.0159332321699424,47.9,3.445238,11.833724,3.445238,17,main_theme,主线三日趋势承接
300429.SZ,强力新材,988908266.19,14.26,-79.91,5.05,9210033263.0,True,True,False,core,"['PCB', '半导体概念', '光刻机(胶)', '新材料']",2026-06-26,17.05,2.0347097546379302,16.622,16.091,15.035499999999999,14.581333333333333,15.3,17.63,1.3298143684923343,6.4216218583003135,23.550724637681157,6.8295739348371,0.5042735042735049,0.4957264957264951,0.11111111111111044,-0.7181328545781014,5.959853334161963,13.398290711981659,-3.289846851956881,16.46,3.434491,11.502507,6.717634,18,main_theme,主线三日趋势承接
003018.SZ,金富科技,1054246055.95,5.97,236.45,12.02,19487000000.0,True,True,False,core,['液冷概念'],2026-06-26,74.95,-3.439835094047922,71.94800000000001,67.02000000000001,61.1255,52.501,62.43,81.38,1.0761118325498056,9.035298038316043,11.31739195009655,14.096513929060748,0.5829725829725833,0.4170274170274167,0.5829725829725833,-2.280340118526169,11.832288868994326,22.616583913424023,-7.901204227082815,70.91,3.391642,10.664923,3.391642,19,main_theme,主线三日趋势承接
600641.SH,先导基电,3463386508.0,9.77,-535.84,4.37,36227090099.0,True,True,False,core,['半导体概念'],2026-06-26,38.26,2.8494623655913784,37.062,34.422999999999995,30.5165,27.0745,34.2,39.36,1.3856227545974518,6.745216825308545,42.230483271375476,6.248264371008048,0.5985401459854013,0.40145985401459877,0.13868613138686214,-0.5376344086021589,11.146617087412494,25.374797240836912,-2.7947154471544735,36.62,3.35304,13.036648,19.662754,20,main_theme,主线三日趋势承接
002745.SZ,木林森,1582208728.39,11.68,11.32,1.6,18967646579.0,True,True,False,core,"['PCB', '半导体概念']",2026-06-26,12.78,0.868192580899759,12.114,11.353000000000002,10.651499999999999,9.726333333333333,11.14,13.15,1.2883541838926371,6.112522350002151,23.00288739172281,9.605488850771863,0.5194805194805179,0.48051948051948207,0.2207792207792208,-0.9471191791633657,12.569364925570298,19.983100971694128,-2.8136882129277723,12.38,3.333281,11.637762,4.609852,21,main_theme,主线三日趋势承接
300433.SZ,蓝思科技,10337807545.18,3.74,-490.38,5.6,293445204963.0,True,True,False,core,"['玻璃基板', '液冷概念', '新材料']",2026-06-26,55.59,-0.23330940416366275,54.272000000000006,51.38100000000001,47.16100000000001,36.167333333333325,50.39,58.5,0.9805124214579866,8.866975616376564,37.25925925925927,3.3079353280059536,0.5781250000000011,0.42187499999999883,0.29464285714285743,-2.5125628140703498,8.19174402989431,17.872818642522418,-4.974358974358978,53.0,3.313187,12.857904,18.324044,22,main_theme,主线三日趋势承接
300304.SZ,云意电气,837640810.17,5.04,61.46,5.14,17290649807.0,True,True,False,core,['半导体概念'],2026-06-26,19.69,1.7571059431524532,19.381999999999998,18.214,16.584,14.109333333333334,17.82,20.66,0.9743598099692099,7.376354089572821,48.828420256991706,5.746509129967762,0.6959459459459465,0.3040540540540535,0.2500000000000006,-1.6537467700258475,8.10365652794556,18.72889532079114,-4.695062923523707,18.66,3.296573,12.338839,3.296573,23,main_theme,主线三日趋势承接
